id,latitude,longitude
56050,12.971599,77.594563
56108,12.971599,77.594563
56496,12.971599,77.594563
56497,12.971599,77.594563
56606,12.971599,77.594563
57509,12.971599,77.594563
57909,12.971599,77.594563
57913,12.971599,77.594563
57914,12.971599,77.594563
58044,12.971599,77.594563
58048,12.971599,77.594563
58050,12.971599,77.594563
58052,12.971599,77.594563
58054,12.971599,77.594563
58056,12.971599,77.594563
58058,12.971599,77.594563
58061,12.971599,77.594563
58064,12.971599,77.594563
58069,12.971599,77.594563
58072,12.971599,77.594563
58075,12.971599,77.594563
58079,12.971599,77.594563
58082,12.971599,77.594563
58085,12.971599,77.594563
58087,12.971599,77.594563
58122,12.971599,77.594563
58129,12.971599,77.594563
58130,12.971599,77.594563
58135,12.971599,77.594563
58138,12.971599,77.594563
58140,12.971599,77.594563
58142,12.971599,77.594563
58148,12.971599,77.594563
58152,12.971599,77.594563
58160,12.971599,77.594563
58166,12.971599,77.594563
58170,12.971599,77.594563
58177,12.971599,77.594563
58183,12.971599,77.594563
58188,12.971599,77.594563
58195,12.971599,77.594563
58225,12.971599,77.594563
58226,12.971599,77.594563
58265,12.971599,77.594563
58266,12.971599,77.594563
111766,12.971599,77.594563
113368,12.971599,77.594563
123600,12.971599,77.594563
123855,12.971599,77.594563
124019,12.971599,77.594563
51673,12.971643,77.595937
57924,12.971766,77.582031
37532,12.971885,77.607009
38261,12.971885,77.607009
37078,12.971932,77.512749
61933,12.971932,77.512749
43782,12.971952,77.751903
55547,12.971975,77.596006
46442,12.972073,77.594903
46551,12.972106,77.653968
45001,12.972233,77.523409
45397,12.972255,77.653484
41864,12.972311,77.618721
46433,12.972522,77.651137
49116,12.972607,77.594890
31610,12.972658,77.605283
43484,12.972751,77.632019
24398,12.972893,77.601146
28639,12.972970,77.593807
44910,12.972979,77.621041
17554,12.973042,77.607378
20403,12.973083,77.594820
143717,12.973088,77.616979
35019,12.973173,77.616607
38694,12.973173,77.616607
45119,12.973173,77.616607
45468,12.973173,77.616607
48203,12.973173,77.616607
52844,12.973287,77.747953
36268,12.973426,77.598837
28708,12.973653,77.648243
11956,12.973679,77.610967
45062,12.973962,77.551755
150583,12.974021,77.700870
34719,12.974048,77.608591
45852,12.974077,77.599005
36919,12.974248,77.551835
56113,12.974321,77.595780
112448,12.974346,77.656708
31562,12.974363,77.609666
31243,12.974515,77.609276
46257,12.974539,77.680554
47589,12.974543,77.595116
44758,12.974648,77.606350
47381,12.974698,77.558486
55481,12.974720,77.598595
41695,12.974744,77.606604
43083,12.974798,77.590679
45320,12.974851,77.606618
25886,12.974990,77.604784
29473,12.974990,77.604784
39071,12.974990,77.604784
39433,12.974990,77.604784
43432,12.974990,77.604784
43630,12.974990,77.604784
43728,12.974990,77.604784
44978,12.974990,77.604784
53221,12.974990,77.604784
53494,12.974990,77.604784
11901,12.975182,77.607995
113306,12.975215,77.604164
36930,12.975596,77.535388
37080,12.975596,77.535388
