lat,lon,restaurants,shops,bus_stops,hospitals,police_stations,crowd_score,hospital_dist_m,police_dist_m
1436506.02912519,769053.457229976,0,0,1,0,0,2,174.38815796985594,1288.5282955710422
1436756.02912519,769053.457229976,1,2,1,0,0,9,177.94857933040115,1216.1866452862932
1437006.02912519,769053.457229976,0,0,0,1,0,0,85.93245487326254,1192.8599011863214
1437256.02912519,769053.457229976,0,0,0,0,0,0,277.1729581014822,1221.359706042308
1437506.02912519,769053.457229976,0,0,0,0,0,0,520.8313648436572,1298.2774430872878
1437756.02912519,769053.457229976,0,0,0,0,0,0,768.5738562474575,1415.7433054458631
1438006.02912519,769053.457229976,0,0,0,0,0,0,1017.4213652215428,1564.651365192991
1438256.02912519,769053.457229976,0,0,0,0,0,0,1266.7228174748604,1736.9337011773948
1438506.02912519,769053.457229976,0,0,1,0,0,2,1516.2543184484684,1926.329013946298
1438756.02912519,769053.457229976,0,0,0,0,0,0,1765.9183503536651,2128.2735391995147
1439006.02912519,769053.457229976,0,0,0,0,0,0,2015.665667222119,2339.519832218214
1439256.02912519,769053.457229976,0,0,0,0,0,0,2265.468724992727,2557.7642254570405
1439506.02912519,769053.457229976,0,0,0,0,0,0,2415.1886063229854,2781.359850992562
1439756.02912519,769053.457229976,0,0,0,0,0,0,2168.117671375058,3009.1140570604625
1440006.02912519,769053.457229976,0,0,0,0,0,0,1921.8044827050544,3240.1500267864744
1440256.02912519,769053.457229976,0,0,0,0,0,0,1676.5830437415502,3473.813032356506
1440506.02912519,769053.457229976,0,0,0,0,0,0,1433.0139341186184,3709.606686894908
1440756.02912519,769053.457229976,0,0,0,0,0,0,1192.1103842323323,3947.1491685950923
1441006.02912519,769053.457229976,0,0,0,0,0,0,955.8898477392667,4186.142776689114
1441256.02912519,769053.457229976,0,0,0,0,0,0,728.9194974943649,4426.352463881741
1441506.02912519,769053.457229976,0,0,0,0,0,0,523.3754547587005,4493.511136980272
1441756.0292812344,769053.4574641921,0,0,0,0,0,0,376.1912973869786,4446.27005031694
1442006.02912519,769053.457229976,0,0,0,0,0,0,366.22169826043176,4412.708572106213
1442255.8956265096,769053.5879596313,0,0,0,0,0,0,501.5267829529508,4393.015562617273
1442504.1662361575,769073.3916189295,0,0,0,0,0,0,691.7499901533181,4367.803710260552
1442721.8804715483,769116.0153833963,0,0,0,0,0,0,874.3836682628281,4332.088996969317
1443092.650640935,769161.2538426155,0,0,0,0,0,0,969.9846499475783,4324.091027374473
1443287.3921923642,769084.5473540082,0,0,0,0,0,0,798.3158568144563,4431.529922405259
1443503.5926058856,769058.9638912431,0,0,0,0,0,0,606.4188929088733,4501.083592381654
1443725.5286883432,769062.1196405669,0,0,0,0,0,0,416.3268223098051,4553.858304061325
1424577.1988862925,769341.3445106253,0,0,0,0,0,0,3573.8506583655803,3964.0917178035384
1424748.5690073892,769360.6624178152,0,0,0,0,0,0,3413.9641618270334,3793.1379020754102
1425023.2667501667,769313.7496137848,0,0,0,0,0,0,3201.123854474677,3517.6780416270967
1425256.02912519,769303.457229976,0,0,0,0,0,0,3012.3167358804444,3284.8238492450937
1425506.02912519,769303.457229976,0,0,0,0,0,0,2810.1606469708886,3034.834512708408
1425723.3608711977,769300.4677856859,0,0,0,0,0,0,2629.881830490421,2817.4842188532352
1426063.9421286345,769409.3383200343,0,0,0,0,0,0,2312.821653971057,2480.4601700406115
1426290.6477964246,769330.4741759552,0,0,0,0,0,0,2075.0151370041904,2250.7769405758268
1426506.02912519,769303.457229976,0,0,0,0,0,0,1858.475131414231,2034.9033675712915
1426756.02912519,769303.457229976,0,0,0,0,0,0,1614.142384821212,1784.9326357904122
1427006.02912519,769303.457229976,0,0,0,0,0,0,1371.8532949508403,1534.9714372803276
1427256.02912519,769303.457229976,0,0,0,0,0,0,1132.9198061904663,1285.0253352456364
1427506.02912519,769303.457229976,0,0,0,0,0,0,900.0183951730156,1035.105265748313
1427756.02912519,769303.457229976,0,0,0,0,0,0,679.3812891454821,785.2360856052218
1428006.02912519,769303.457229976,0,0,0,0,0,0,487.93929994636,535.4890373232089
